Word,Sentiment
a,0
aardvark,0
ab,0
aba,0
aback,0
abacus,0
abaft,0
abalone,0
abandon,-1
abandoned,-1
abandoning,-1
abandonment,-1
abase,0
abased,0
abasement,0
abash,0
abashed,0
abashedly,0
abashes,0
abashing,0
abashment,0
abasing,0
abate,0
abated,0
abatement,0
abates,0
abating,0
abattoir,0
abbe,0
abbess,0
abbey,0
abbot,0
abbreviate,0
abbreviated,0
abbreviates,0
abbreviating,0
abbreviation,0
abdicate,0
abdicated,-1
abdicates,-1
abdicating,-1
abdication,-1
abdomen,0
abdominal,0
abduct,0
abducted,0
abducting,0
abduction,0
abductor,0
abducts,0
abeam,0
abed,0
aberrant,-1
aberration,-1
aberrational,-1
abet,0
abets,0
abetted,0
abetter,0
abetting,-1
abettor,0
abeyance,0
abhor,0
abhorred,0
abhorrence,0
abhorrent,0
abhorrently,0
abhorring,0
abhors,0
abidance,0
abide,0
abided,0
abides,0
abiding,0
abidingly,0
ability,0
abject,0
abjection,0
abjectly,0
abjectness,0
abjectnesses,0
abjuration,0
abjuratory,0
abjure,0
abjured,0
abjurer,0
abjures,0
abjuring,0
ablate,0
ablated,0
ablates,0
ablating,0
ablation,0
ablative,0
ablaze,0
able,1
abler,0
ablest,0
abloom,0
ablution,0
ably,0
abnegate,0
abnegated,0
abnegates,0
abnegating,0
abnegation,0
abnormal,-1
abnormality,-1
abnormally,-1
aboard,0
abode,0
abolish,-1
abolished,-1
abolishes,-1
abolishing,-1
abolishment,0
abolition,0
abolitionism,0
abolitionist,0
abominable,0
abominably,0
abominate,0
abominated,0
abominates,0
abominating,0
abomination,0
aboriginal,0
aborigine,0
aborning,0
abort,0
aborted,0
aborting,0
abortion,0
abortionist,0
abortive,0
abortively,0
abound,0
abounded,0
abounding,0
abounds,0
about,0
abouts,0
above,0
aboveboard,0
aboveground,0
abovementioned,0
abracadabra,0
abrade,0
abraded,0
abrades,0
abrading,0
abrasion,0
abrasive,0
abrasively,0
abrasiveness,0
abreast,0
abridge,0
abridged,0
abridgement,0
abridges,0
abridging,0
abridgment,0
abroad,0
abrogate,-1
abrogated,-1
abrogates,-1
abrogating,-1
abrogation,-1
abrogator,0
abrupt,-1
abrupter,0
abruptest,0
abruptly,-1
abruptness,-1
abscess,0
abscessed,0
abscessing,0
abscissa,0
abscission,0
abscond,0
absconded,0
absconder,0
absconding,0
absconds,0
abseil,0
abseiled,0
abseiling,0
absence,-1
absent,0
absented,0
absentee,0
absenteeism,-1
absenting,0
absently,0
absentminded,0
absentmindedly,0
absentmindedness,0
absents,0
absinth,0
absinthe,0
absolute,0
absolutely,0
absoluteness,0
absolutest,0
absolution,0
absolutism,0
absolutist,0
absolve,0
absolved,0
absolves,0
absolving,0
absorb,0
absorbable,0
absorbed,0
absorbency,0
absorbent,0
absorber,0
absorbing,0
absorbingly,0
absorbs,0
absorption,0
absorptive,0
abstain,0
abstained,0
abstainer,0
abstaining,0
abstains,0
abstemious,0
abstemiously,0
abstemiousness,0
abstention,0
abstinence,0
abstinent,0
abstract,0
abstracted,0
abstractedly,0
abstractedness,0
abstracting,0
abstraction,0
abstractly,0
abstractness,0
